"order_date","fiscal_year","fiscal_quarter","fiscal_month","week_of_year","so_number","order_id","line_id","customer_code","customer_name","legacy_province_id","legacy_province_name","legacy_region","silver_province_code","silver_province_name","silver_province_type","silver_region","geo_match_method","geo_confidence","product_code","product_name","color","line_id_fk","line_name","group_code","group_name","quantity","unit_price","line_total"
2025-01-02,2025,1,1,1,BH25.0001,1,1,KH-00001,HỘ KINH DOANH TÚ ANH,11,Hà Nội,Miền Bắc,"01",Hà Nội,Thành phố,Miền Bắc,address,HIGH,"000214004000000",Xe đạp Thống Nhất GN 05-26,"05-26",5,Xe GN 05-26,CITYBIKE_P,Xe phổ thông,1.00,2305555.56,2305556.00
2025-01-06,2025,1,1,2,BH25.0002,2,2,KH-00002,CÔNG TY TNHH THƯƠNG MẠI VIỆT ANH,11,Hà Nội,Miền Bắc,"01",Hà Nội,Thành phố,Miền Bắc,address,HIGH,"000333002022000",Xe đạp Thống Nhất Super 26 xanh,xanh,70,Xe Super 26,SPORTBIKE_S,Xe thể thao thép,1.00,3509259.26,3509259.00
2025-01-06,2025,1,1,2,BH25.0003,3,3,KH-00003,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM TIẾN,11,Hà Nội,Miền Bắc,"01",Hà Nội,Thành phố,Miền Bắc,address,HIGH,"000224002004000",Xe đạp Thống Nhất New 24 Đỏ tươi,Đỏ tươi,20,Xe New 24,CITYBIKE_P,Xe phổ thông,1.00,2398148.15,2398148.00
2025-01-06,2025,1,1,2,BH25.0004,4,4,KH-00004,DOANH NGHIỆP TW KHẢI HOÀN,,,,,,,,,,"000217003001000",Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,10,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,5.00,2453703.70,12268519.00
2025-01-07,2025,1,1,2,BH25.0005,5,5,KH-00005,CÔNG TY TNHH ĐẠI LỢI,11,Hà Nội,Miền Bắc,"01",Hà Nội,Thành phố,Miền Bắc,address,HIGH,"000217002007000",Xe đạp Thống Nhất GN 06-26 Coban,Coban,9,Xe GN 06-26,CITYBIKE_P,Xe phổ thông,2.00,2212962.96,4425926.00
2025-01-07,2025,1,1,2,BH25.0006,6,6,KH-00006,CÔNG TY TNHH CHI THÀNH,48,TP. Hồ Chí Minh,Miền Nam,"79",Thành phố Hồ Chí Minh,Thành phố,Miền Nam,address,HIGH,"000225002015000",Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,21,Xe New 26,CITYBIKE_P,Xe phổ thông,11.00,1898148.00,20879628.00
2025-01-07,2025,1,1,2,BH25.0006,6,7,KH-00006,CÔNG TY TNHH CHI THÀNH,48,TP. Hồ Chí Minh,Miền Nam,"79",Thành phố Hồ Chí Minh,Thành phố,Miền Nam,address,HIGH,"000226003015000",Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,13,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,4.00,2037037.00,8148148.00
2025-01-08,2025,1,1,2,BH25.0007,7,8,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,25,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,"38",Thanh Hóa,Tỉnh,Miền Trung,address,HIGH,"000217003001000",Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,10,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,5.00,1594907.41,7974537.00
2025-01-08,2025,1,1,2,BH25.0007,7,9,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,25,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,"38",Thanh Hóa,Tỉnh,Miền Trung,address,HIGH,"000226003015000",Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,13,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,2.00,1685185.19,3370370.00
2025-01-08,2025,1,1,2,BH25.0007,7,10,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,25,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,"38",Thanh Hóa,Tỉnh,Miền Trung,address,HIGH,"000225002004000",Xe đạp Thống Nhất New 26 Đỏ tươi,Đỏ tươi,21,Xe New 26,CITYBIKE_P,Xe phổ thông,28.00,1618981.48,45331481.00
2025-01-08,2025,1,1,2,BH25.0007,7,11,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,25,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,"38",Thanh Hóa,Tỉnh,Miền Trung,address,HIGH,"000224002004000",Xe đạp Thống Nhất New 24 Đỏ tươi,Đỏ tươi,20,Xe New 24,CITYBIKE_P,Xe phổ thông,13.00,1558796.30,20264352.00
2025-01-08,2025,1,1,2,BH25.0007,7,12,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,25,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,"38",Thanh Hóa,Tỉnh,Miền Trung,address,HIGH,"000214004000000",Xe đạp Thống Nhất GN 05-26,"05-26",5,Xe GN 05-26,CITYBIKE_P,Xe phổ thông,6.00,1498611.11,8991667.00
2025-01-08,2025,1,1,2,BH25.0007,7,13,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,25,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,"38",Thanh Hóa,Tỉnh,Miền Trung,address,HIGH,"000331002004000",Xe đạp Thống Nhất MTB 26-02 Đỏ tươi,Đỏ tươi,18,Xe MTB 26 02,CITYBIKE_P,Xe phổ thông,17.00,1799537.04,30592130.00
